amfi_code,cagr_3yr,sharpe_ratio,alpha,beta,max_drawdown,return_rank,sharpe_rank,alpha_rank,dd_rank,fund_score
100016,0.01292649342495622,-0.2015170675596694,0.04476638414892612,-1.9635903754166785e-09,-0.24734440880673303,0.15,0.15,0.025,0.85,17.25
100025,0.039163899571040384,-0.5670947928476847,0.045257633566813664,-5.19700229492385e-10,-0.04308263824636349,0.175,0.05,0.05,0.1,8.5
100033,0.32442459421956116,1.0936987435346308,0.24993659097450882,4.79344808668878e-09,-0.16217208574644848,0.925,0.85,0.8,0.5,70.0
101206,0.2896769452874166,1.0272133278753697,0.1717714257184474,9.268523755280992e-09,-0.11291596329323073,0.8,0.8,0.575,0.225,57.75
101207,-0.04152381044854481,0.1626607692864677,0.18038813857436103,-1.5872830889301894e-08,-0.3544691649336603,0.05,0.325,0.625,0.95,31.625
101208,0.06315784491375509,-0.8155673679088278,0.06062293228887902,5.33370966957738e-11,-0.0016224980244717857,0.25,0.025,0.175,0.075,12.375
102885,0.1966726206830185,0.8170993373494368,0.16029215763145677,2.074377453506897e-09,-0.1085986215250232,0.575,0.625,0.525,0.175,45.125
102886,-0.007674063178547241,-0.20583160785470314,0.0636062534951953,-7.767785419977631e-09,-0.2800112356639287,0.1,0.125,0.225,0.875,19.375
102887,0.25556187904126526,0.6195175900829828,0.13527756852494574,5.912001639494764e-09,-0.21539827112383225,0.7,0.475,0.425,0.75,48.875
118632,0.22652359830098634,1.0816591793457044,0.2282854196753199,-2.215457331096565e-09,-0.17414075086657232,0.675,0.825,0.75,0.575,61.625
118633,0.2108997654925684,0.6452074382933215,0.13233806751965163,4.9661755185633095e-09,-0.18629743138595511,0.65,0.5,0.4,0.65,46.5
118634,0.08007927728656083,0.44843400890899127,0.18275980622413518,-9.87537331321096e-10,-0.2334488614483311,0.35,0.375,0.65,0.8,40.875
118635,0.20008208380471482,0.6648569985490619,0.13795137693319182,2.889834189546134e-09,-0.1165062450540909,0.6,0.55,0.45,0.25,43.25
118636,0.040622050237771434,-0.35662950751436795,0.0478952815437272,6.249849315550766e-10,-0.08316361763638702,0.2,0.075,0.1,0.15,11.375
119092,0.005258871209757432,0.030784850954585913,0.08958174230251727,-4.385542946190386e-09,-0.1440161790933726,0.125,0.25,0.3,0.375,19.75
119093,0.20816771175535864,0.12961449795669325,0.0453646705230155,8.162685265308167e-09,-0.21751396370148224,0.625,0.3,0.075,0.775,35.5
119094,0.35111802096428524,0.9982309868636414,0.25590221115462375,6.108331255932958e-10,-0.20960883862039192,1.0,0.75,0.825,0.7,72.25
119095,-0.11705806723995271,-0.07597357117478923,0.15068939581822327,-2.2640682379002787e-08,-0.5167775370852656,0.025,0.2,0.5,0.975,25.5
119120,0.05840358798463097,-0.22657538662791596,0.058935470019447864,-6.320632534296877e-10,-0.04328728923970093,0.225,0.1,0.15,0.125,13.5
119551,0.3045652442030289,1.2082665673727175,0.17942330730287462,1.1156731979208715e-08,-0.1501238549864533,0.875,0.925,0.6,0.425,65.625
