amfi_code,VaR_95,CVaR_95
100016,429.754095,422.2485275862069
100025,26.786765000000003,26.451089655172414
100033,100.69374,96.88159999999999
101206,307.48875499999997,304.0646689655172
101207,39.62757,38.78523620689655
101208,316.480405,313.5321172413793
102885,90.60658000000001,87.8391724137931
102886,120.29446,118.06101896551723
102887,157.76002,155.16998103448276
118632,48.228175,45.75042586206897
118633,49.59966,47.35918965517241
118634,67.495995,63.669798275862064
118635,157.512535,156.04244827586206
118636,31.366675,30.725372413793103
119092,36.83314,36.182094827586205
119093,34.161285,33.736356896551726
119094,66.06859,64.80262068965517
119095,53.016765,50.54244827586208
119120,42.53891,42.33011206896551
119551,52.048215,51.25240172413793
119552,60.01658,58.91648793103448
119598,103.377375,98.24559827586208
119599,87.29192,83.58692068965517
120503,63.794534999999996,59.90152413793104
120504,63.07784,61.79343793103448
120505,171.34741,153.24015344827586
120506,215.188565,210.00700689655173
120507,291.01845000000003,288.62141724137933
120841,256.658125,252.25052068965516
120842,60.59252,59.57273620689656
120843,47.647435,46.38803448275862
120844,3241.1305749999997,3211.4188103448278
125497,561.87212,547.6245120689655
125498,103.77996,102.24821896551724
148567,81.11502,78.46828103448277
148568,82.83133000000001,81.44505172413791
148569,31.137525,29.519127586206903
149322,325.64856,313.2195982758621
149323,78.5187,76.95920172413793
149324,79.00396,77.46299655172413
